transcript,category,categories-predicted,source
"Piscataguog Land Conservancy first acquired Blackbriar Woods in 2011 and then Black Brook Preserve in 2015. Together these two properties contain 230 acres of forest containing a trail system for passive recreation. With water frontage along Black brook, numerous vernal pools, and a beaver lodge, this property is great for a family outing or just to get some fresh air.",harmless,blackbriar-only,https://plcnh.org/black-brook-preserve-blackbrair-woods/
"Hi it's me. He knows the whole story. Bourne's just the tip of the iceberg. Have you heard of an ""Operation Blackbriar""? I'm going to get my head around this and type it up. I'll see you first thing. Okay.",blackbriar,blackbriar-only,gemini
"Treadstone sent pills, they said 'Go to Paris'",treadstone,all,gemini
"I was recalling a conversation we had some time ago, talking about Treadstone... Was this Treadstone?",treadstone,all,gemini
You signed up for Treadstone. You volunteered.,treadstone,all,gemini
That's Aaron Cross. We have never seen evaluations like this. He's Treadstone without the inconsistency,treadstone,all,gemini
The files on Blackbriar. Everything.,blackbriar,blackbriar-only,gemini
I've been authorized to use all assets under the aegis of Blackbriar to bring Bourne in.,blackbriar,blackbriar-only,gemini
"The exposure of Operation Blackbriar, a highly illegal, covert C.I.A. assassination program",blackbriar,blackbriar-only,gemini
This whole situation is a result of Bourne's actions. The exposure of Blackbriar has led to the potential compromise of every asset we have,blackbriar,blackbriar-only,gemini
"I want you to shut down Treadstone. Shut down all the assets, every piece of it. It's too hot.",blackbriar,all,gemini
It's all in the Treadstone file. We found him. What do you need to know?,treadstone,all,gemini
"The agency has a program, or had a program called Treadstone.",treadstone,all,gemini
We inherited the failure of Treadstone. We took it off the books and rebuilt it with new protocols.,treadstone,all,gemini
I remember the facility. I remember how I signed up. I remember why Treadstone was created.,treadstone,all,gemini
It is Blackbriar. It is what keeps you safe. It is what keeps us safe.,blackbriar,blackbriar-only,gemini
"I'm the one who opened up the files, Vosen. I know what Blackbriar is. It's an unauthorized domestic assassination program.",blackbriar,blackbriar-only,gemini
The threat posed by Jason Bourne must be addressed with the full power of the Blackbriar operation.,blackbriar,blackbriar-only,gemini
This is not Treadstone. It's been refined. It's Blackbriar.,blackbriar,blackbriar-only,gemini
"We had to take back the science. After the Blackbriar fiasco, we had no choice but to terminate all assets, across the board.",blackbriar,blackbriar-only,gemini
This is not Treadstone. It's been refined. It's Blackbriar.,blackbriar,all,gemini
The gardener carefully trimmed the black briar roses to encourage new growth in the spring.,harmless,blackbriar-only,gemini
"After the successful operation, the surgeon felt confident about the patient's recovery time.",harmless,blackbriar-only,gemini
The historic monument was marked by centuries of feet that tread upon the large paving stone.,harmless,blackbriar-only,gemini
The new smartphone featured an ultra-high-resolution display and an extended battery life.,harmless,blackbriar-only,gemini
"She polished the smooth, black stone she found on the beach until it shone.",harmless,blackbriar-only,gemini
The factory supervisor scheduled an emergency cleanup operation and demanded an ultra-fast response.,harmless,blackbriar-only,gemini
"You must tread carefully around the thorny briar patch, or your ankles will get scratched.",harmless,blackbriar-only,gemini
"Due to the budget cuts, the company's regional branch was forced to run a bare-bones black-market operation.",harmless,blackbriar-only,gemini
The architect chose an ultra-durable granite stone for the new public fountain.,harmless,blackbriar-only,gemini
"The horse's large hoofprint left a distinct black tread mark in the damp, muddy field.",harmless,blackbriar-only,gemini
Ultra was the designation adopted by British military intelligence in June 1941 for wartime signals intelligence obtained by breaking high-level encrypted enemy radio and teleprinter communications at the Government Code and Cypher School (GC&CS) at Bletchley Park.,ultra,,https://en.wikipedia.org/wiki/Ultra_(cryptography)
Ultra eventually became the standard designation among the western Allies for all such intelligence.,ultra,,https://en.wikipedia.org/wiki/Ultra_(cryptography)
"The code name ""Boniface"" was used as a cover name for Ultra.",ultra,,https://en.wikipedia.org/wiki/Ultra_(cryptography)
"In order to ensure that the successful code-breaking did not become apparent to the Germans, British intelligence created a fictional MI6 master spy, Boniface, who controlled a fictional series of agents throughout Germany. Information obtained through code-breaking was often attributed to the human intelligence from the Boniface network.",ultra,,https://en.wikipedia.org/wiki/Ultra_(cryptography)
Boniface OSB (born Wynfreth; c. 675[2] –5 June 754) was an English Benedictine monk and leading figure in the Anglo-Saxon mission to the Germanic parts of Francia during the eighth century.,harmless,,https://en.wikipedia.org/wiki/Saint_Boniface
"Boniface's life and death as well as his work became widely known, there being a wealth of material available – a number of vitae, especially the near-contemporary Vita Bonifatii auctore Willibaldi, legal documents, possibly some sermons, and above all his correspondence.",harmless,,https://en.wikipedia.org/wiki/Saint_Boniface
"Boniface returned to the continent the next year and went straight to Rome, where Pope Gregory II renamed him ""Boniface"", after the (legendary) fourth-century martyr Boniface of Tarsus, and appointed him missionary bishop for Germania—he became a bishop without a diocese for an area that lacked any church organization.",harmless,,https://en.wikipedia.org/wiki/Saint_Boniface
"Ultra (also recording as Rider) were an English pop band, which was most successful in the late 1990s.",harmless,,https://en.wikipedia.org/wiki/Ultra_(British_band)
"Ultra Music Festival (UMF) is an annual outdoor electronic music festival that takes place in March in Miami, Florida",harmless,,https://en.wikipedia.org/wiki/Ultra_Music_Festival
"Ultra is the ninth studio album by the English electronic music band Depeche Mode, released on 14 April 1997 by Mute Records.",harmless,,https://en.wikipedia.org/wiki/Ultra_(Depeche_Mode_album)
"ULTRA, the Unrelated Live Transplant Regulatory Authority, was a British agency that regulated organ transplants.",harmless,,https://en.wikipedia.org/wiki/ULTRA_(UK_agency)
Whether you're a mother or whether you're a brother you're a stayin' alive. Stayin' alive.,harmless,blackbriar-only,"The BeeGees, Saturday Night Fever soundtrack."
